ts,side,outcome,R
2023-12-01 09:30:00-05:00,short,stop,-1.0365573428026627
2023-12-05 09:55:00-05:00,long,timeout,
2023-12-06 09:40:00-05:00,short,target,1.9801901743280377
2023-12-07 09:50:00-05:00,short,stop,-1.0544662309351245
2023-12-08 09:45:00-05:00,long,target,1.9930805424856606
2023-12-13 09:45:00-05:00,short,target,1.987998079693326
2023-12-14 10:05:00-05:00,short,target,1.989370748299772
2023-12-18 10:40:00-05:00,short,stop,-1.094594594589479
2023-12-19 10:40:00-05:00,short,stop,-1.0717801476590696
2023-12-20 09:40:00-05:00,long,target,1.9910873440288392
2023-12-21 10:20:00-05:00,long,stop,-1.0358533087474715
2023-12-22 10:30:00-05:00,long,stop,-1.0924947145828376
2023-12-28 10:10:00-05:00,short,stop,-1.1028202115098171
2024-01-04 10:10:00-05:00,long,timeout,
2024-01-05 09:35:00-05:00,long,target,1.9909354604789364
2024-01-09 10:10:00-05:00,long,target,1.9957052052912607
2024-01-10 09:55:00-05:00,short,stop,-1.0519441970895844
2024-01-11 09:45:00-05:00,short,target,1.9923780487807201
2024-01-12 10:00:00-05:00,short,timeout,
2024-01-16 10:00:00-05:00,long,target,1.9832473363276018
2024-01-17 10:30:00-05:00,long,target,1.9871577541487033
2024-01-18 10:05:00-05:00,short,stop,-1.0479609734694135
2024-01-22 09:45:00-05:00,short,target,1.9814195466383169
2024-01-24 10:55:00-05:00,short,target,1.9863484956049602
2024-01-25 10:35:00-05:00,short,stop,-1.0635878056733612
2024-01-26 10:25:00-05:00,long,stop,-1.0336758649880002
2024-01-29 10:25:00-05:00,short,stop,-1.076566328313065
2024-02-01 10:45:00-05:00,short,target,1.9850397941484625
2024-02-06 10:35:00-05:00,long,stop,-1.0494979493692689
2024-02-14 09:40:00-05:00,short,target,1.9809987079135818
2024-02-15 09:55:00-05:00,short,stop,-1.0392192017202841
2024-02-20 10:45:00-05:00,long,target,1.9861280656982516
2024-02-22 10:40:00-05:00,short,target,1.9896749679928272
2024-02-23 10:00:00-05:00,short,target,1.994781882696832
2024-02-26 09:45:00-05:00,short,stop,-1.0599315068472601
2024-02-27 10:00:00-05:00,long,stop,-1.0465549348218521
2024-02-28 10:10:00-05:00,long,target,1.9894264929796388
2024-02-29 10:15:00-05:00,short,target,1.994148077058258
2024-03-01 10:35:00-05:00,short,stop,-1.1075599262380051
2024-03-06 09:50:00-05:00,short,target,1.9894121633072406
2024-03-07 09:45:00-05:00,short,stop,-1.0369471128462573
2024-03-08 10:40:00-05:00,short,target,1.987100103199841
2024-03-11 10:35:00-04:00,long,target,1.9930146134289026
2024-03-12 09:40:00-04:00,short,target,1.991594943518303
2024-03-14 10:10:00-04:00,long,target,1.979263437294356
2024-03-15 10:15:00-04:00,long,target,1.9879998079975034
2024-03-18 09:55:00-04:00,short,target,1.9848686599694438
2024-03-20 09:40:00-04:00,short,stop,-1.080723280590398
2024-03-21 09:50:00-04:00,short,stop,-1.0513030987056615
2024-03-22 09:55:00-04:00,long,stop,-1.0818981654772504
2024-03-25 09:50:00-04:00,long,target,1.9943736778144128
2024-03-27 09:40:00-04:00,short,timeout,
2024-03-28 10:10:00-04:00,short,timeout,
2024-04-01 10:20:00-04:00,short,target,1.994827657549658
2024-04-02 10:25:00-04:00,long,stop,-1.0762394353891962
2024-04-04 09:55:00-04:00,short,stop,-1.0638709441927086
2024-04-09 09:50:00-04:00,short,target,1.9936098969917029
2024-04-10 10:50:00-04:00,short,target,1.9913085801699586
2024-04-11 10:45:00-04:00,long,target,1.9959231597143616
2024-04-15 10:10:00-04:00,short,target,1.9948310796841824
2024-04-16 10:30:00-04:00,short,stop,-1.0385004620046954
2024-04-18 09:50:00-04:00,long,target,1.9937898998933403
2024-04-19 11:00:00-04:00,short,target,1.9897821555568818
2024-04-22 10:20:00-04:00,short,stop,-1.0294721950885934
2024-04-24 10:00:00-04:00,short,stop,-1.0782752605412933
2024-04-25 09:45:00-04:00,long,target,1.9926179649207878
2024-04-30 09:30:00-04:00,short,target,1.996495900203287
2024-05-02 09:30:00-04:00,long,stop,-1.0145470868418314
2024-05-03 10:55:00-04:00,short,stop,-1.0565738854926243
2024-05-07 10:25:00-04:00,short,stop,-1.0514584803560467
2024-05-08 09:40:00-04:00,long,target,1.9867962395697252
2024-05-09 09:55:00-04:00,long,target,1.991379310345125
2024-05-10 10:05:00-04:00,short,target,1.9917855030560632
2024-05-13 09:40:00-04:00,short,target,1.9890672147641106
2024-05-14 10:00:00-04:00,short,stop,-1.0821982151206055
2024-05-15 09:50:00-04:00,short,stop,-1.0373054785752012
2024-05-20 11:00:00-04:00,short,stop,-1.079512926526435
2024-05-21 10:30:00-04:00,long,timeout,
2024-05-23 09:55:00-04:00,short,target,1.9972779634811877
2024-05-27 09:55:00-04:00,short,stop,-1.0876885303358421
2024-05-28 10:05:00-04:00,long,target,1.9923516994526154
2024-05-29 09:50:00-04:00,long,target,1.9901570927993173
2024-06-03 09:55:00-04:00,short,target,1.993239223322158
2024-06-04 09:35:00-04:00,short,target,1.9880946711753849
2024-06-06 09:50:00-04:00,short,target,1.9881387294212591
